Date,MSFT,NVDA,UNH,JNJ,JPM,y
2000-01-03,-0.40625,-0.0091149806976318,0.078125,-0.46875,-1.25,0
2000-01-04,-0.46875,-0.0091140270233152,-0.0390620231628418,-1.15625,0.1666679382324218,0
2000-01-05,1.34375,-0.0039060115814207,-0.0234370231628417,0.46875,0.125,1
2000-01-06,-1.09375,-0.0598959922790528,0.234375,1.125,0.875,0
2000-01-07,1.40625,0.0182290077209472,0.4765629768371582,1.1875,0.0833320617675781,1
2000-01-10,-0.59375,0.0260419845581055,-0.1953129768371582,-1.3125,-0.8333320617675781,0
2000-01-11,-1.0625,-0.03125,0.171875,0.6875,-0.125,0
2000-01-12,-1.34375,-0.0221350193023681,-0.0078120231628417,-0.1875,0.375,0
2000-01-13,1.71875,0.0364580154418945,0.1953129768371582,-0.28125,0.125,1
2000-01-14,2.53125,0.0247399806976318,-0.046875,-0.125,-0.0416679382324218,1
2000-01-18,1.75,0.0273439884185792,-0.15625,-0.34375,-1.958335876464844,1
2000-01-19,-1.75,-0.0130200386047362,0.125,0.3125,1.25,1
2000-01-20,-0.53125,-0.0104169845581055,0.1875,-0.15625,-0.875,0
2000-01-21,-1.625,-0.0078120231628415,-0.328125,-0.9375,-0.625,0
2000-01-24,-1.2734375,-0.0716149806976318,-0.2734370231628418,-3.21875,-0.9166641235351562,0
2000-01-25,0.90625,-0.0117180347442626,-0.0390620231628418,0.6875,1.083332061767578,1
2000-01-26,-1.53125,-0.0364589691162109,0.0703129768371582,-1.375,2.041667938232422,0
2000-01-27,-0.5703125,-0.0507819652557373,-0.109375,-1.625,0.8333358764648438,0
2000-01-28,0.0625,-0.0130209922790527,0.046875,1.8125,-1.9166679382324217,0
2000-01-31,0.125,-0.0104169845581054,0.046875,0.4375,2.583335876464844,1
2000-02-01,2.21875,0.0169270038604736,0.1171879768371582,-0.3125,0.875,1
2000-02-02,-0.8125,0.0182290077209472,0.125,-0.0625,-0.4166641235351562,0
2000-02-03,0.78125,-0.0130209922790527,0.0,-0.84375,-0.2083358764648437,1
2000-02-04,1.09375,-0.0065109729766845,0.140625,-0.5,-0.5,0
2000-02-07,-0.09375,-0.0559890270233154,0.2734379768371582,-0.0625,0.0,0
2000-02-08,1.75,0.0182290077209472,0.0,-0.1875,0.6666641235351562,1
2000-02-09,-2.71875,-0.010416030883789,-0.3203120231628418,-1.03125,-1.375,0
2000-02-10,1.0546875,0.1223959922790528,0.0,-0.90625,0.0,0
2000-02-11,-2.46875,-0.0351560115814206,-0.140625,-0.15625,-0.4166679382324219,0
2000-02-14,-0.8046875,0.1640620231628415,0.03125,0.34375,-2.125,0
2000-02-15,-0.59375,-0.0494799613952638,0.125,1.0,0.6666679382324219,1
2000-02-16,-0.8125,0.0403649806976318,0.203125,-0.21875,-1.0,0
2000-02-17,0.5625,0.0442709922790525,0.109375,-0.875,-1.5,0
2000-02-18,-2.46875,0.1640629768371584,-0.53125,-0.53125,-2.208335876464844,0
2000-02-22,-0.65625,0.0052080154418943,0.1015629768371582,0.3125,0.8333320617675781,0
2000-02-23,0.375,0.0234379768371584,-0.125,-1.0,0.0,1
2000-02-24,0.25,-0.0208330154418943,-0.5,-0.625,-0.8333320617675781,0
2000-02-25,-1.6875,-0.0859370231628418,-0.171875,-0.28125,-0.5,0
2000-02-28,0.65625,-0.0026040077209472,0.0546879768371582,0.375,0.7916641235351562,1
2000-02-29,-1.1875,0.0755200386047361,-0.0078129768371582,-0.625,1.2916641235351562,1
2000-03-01,0.59375,-0.0390620231628415,0.4375,0.5625,1.416667938232422,1
2000-03-02,0.78125,-0.0976569652557373,-0.28125,0.34375,0.0416641235351562,0
2000-03-03,0.6875,0.0182299613952638,0.25,-0.375,-0.5833358764648438,1
2000-03-06,-2.6875,-0.015625,-0.2265629768371582,-1.21875,0.3333320617675781,0
2000-03-07,-1.625,0.1731770038604736,-0.3125,-1.0,-1.083332061767578,0
